replicate,dose,relevance_def,population_edges,selected_edges,selected_clip_ids_sha256
41,0.25,two_plus_bikes,345,86,41882056999551232ddafe0d3cdc2c183934d079007d55c8859219829a43c96b
42,0.25,parked_vehicle,69,17,e2852aa694d36cdc2d747e21058e0965d857d0e0d7f5926c7b5ac542f94172a0
42,0.25,dense_frame,70,17,96bc553072e01c46c30c7cc7f2672cdeded53b4380bac62ef365651c7aa1b469
42,0.25,multiple_buses,247,61,bf0354f053f7465e2e35c10f81ac29f9e9b089f756d15ec42480103f6d03599e
42,0.25,stopped_vehicles,636,159,48cd979eeed4dc0534ee26e32efdfd6c20af5f7fa59f2a44837a20dc94780534
42,0.25,two_plus_bikes,345,86,89e79627b009994a7b054d4bd301f71d0d9f85b7113e63d9ae9b57503751c184
43,0.25,parked_vehicle,69,17,8bdb32dd269d4cf5afca9bbbeb9e2160a86030244d48db68bfeb54b1cc171655
43,0.25,dense_frame,70,17,e067cfdb06592d17d931468821c9b7ef2f4c2aad811d2a1e9ba667807a2a0b78
43,0.25,multiple_buses,247,61,eaf4ca973e70d5d2f63405f487a37b448dff47b05f3f824e6effe63e2d255c7e
43,0.25,stopped_vehicles,636,159,f63feaa4b978fb0fc10c52b7ecbf4e93c4295497c4c27fe13802da6e6f68929d
43,0.25,two_plus_bikes,345,86,ae777638a39c68806334a2aea3d5e9050f5cc168c56b6ce17834b74b0af9dc78
44,0.25,parked_vehicle,69,17,a6a243ff60bbeb79d23f7277818d8a005261d3206b79eb9b363c43a4d8628924
44,0.25,dense_frame,70,17,ac2eaf73dbad57566185fdeb565c8568127d7d6a5a2c6a843463c95f7a9a03d0
