family,scoring,candidate,baseline,queries,clusters,mean_delta,query_ci_lo,query_ci_hi,cluster_ci_lo,cluster_ci_hi,p_query,p_cluster,wins,ties,losses,q_query_bh,q_cluster_bh
index,strict,caption__B3_postfilter__ivfpq6_np8,caption__B3_postfilter__flat,85,25,0.023039961467830362,-0.0023455729317222247,0.04802051662390008,-0.0060856820299838,0.0505887273223495,0.077,0.124,43,15,27,0.27694545454545455,0.3401142857142857
index,semantic,caption__B3_postfilter__ivfpq6_np8,caption__B3_postfilter__flat,85,25,0.022125288245843703,-0.003183687298840342,0.04693097823447418,-0.00668765228000959,0.049138690395319096,0.0874,0.1328,43,15,27,0.2384842105263158,0.3541333333333333
index,strict,caption__B4_prefilter__ivfpq6_np8,caption__B4_prefilter__flat,85,25,0.01774089044698474,-0.009937179323122937,0.04408150817817298,-0.016128036448960173,0.04955779808820311,0.1926,0.2912,43,11,31,0.44891428571428565,0.559104
index,semantic,caption__B4_prefilter__ivfpq6_np8,caption__B4_prefilter__flat,85,25,0.017300837504449697,-0.010209837331075226,0.04365033559885313,-0.016381069634336737,0.04822201644071449,0.1958,0.2984,43,11,31,0.376704,0.5025684210526316
index,strict,caption__B5_lexical_vector_hybrid__ivfpq6_np8,caption__B5_lexical_vector_hybrid__flat,85,25,0.022506282106942357,-0.002579766074078449,0.04774768143227156,0.003922017286742957,0.04201716488854522,0.079,0.0154,38,24,23,0.27694545454545455,0.09856000000000001
index,semantic,caption__B5_lexical_vector_hybrid__ivfpq6_np8,caption__B5_lexical_vector_hybrid__flat,85,25,0.022745536724617387,-0.002224867765515044,0.047968700772759665,0.004300658567406935,0.04205008102252772,0.074,0.0136,38,24,23,0.22199999999999998,0.08703999999999999
index,strict,representative_frame__B2_vector__ivfpq6_np8,representative_frame__B2_vector__flat,85,25,-0.01803172941532007,-0.03210329162049694,-0.004221905150996385,-0.03539545302923485,-0.005432165145433148,0.0078,0.004,11,53,21,0.07089230769230769,0.032
index,semantic,representative_frame__B2_vector__ivfpq6_np8,representative_frame__B2_vector__flat,85,25,-0.03133224842797702,-0.053520353293783914,-0.008275361877598694,-0.08721848331160734,0.019711467067353317,0.0072,0.2444,27,17,41,0.03637894736842105,0.4344888888888889
index,strict,representative_frame__B3_postfilter__ivfpq6_np8,representative_frame__B3_postfilter__flat,85,25,-0.053451699158608625,-0.07360215382054965,-0.03288789826733907,-0.07718523778065697,-0.030155427980571654,0.0,0.0,15,24,46,0.0,0.0
index,semantic,representative_frame__B3_postfilter__ivfpq6_np8,representative_frame__B3_postfilter__flat,85,25,-0.052602253453213586,-0.07270618094723894,-0.03227736490041947,-0.07553136824090739,-0.02976059148742755,0.0,0.0,15,24,46,0.0,0.0
index,strict,representative_frame__B4_prefilter__ivfpq6_np8,representative_frame__B4_prefilter__flat,85,25,-0.05744335605258845,-0.07780012134747999,-0.03709160010892088,-0.08166028590645537,-0.031887520366511116,0.0,0.0,16,21,48,0.0,0.0
index,semantic,representative_frame__B4_prefilter__ivfpq6_np8,representative_frame__B4_prefilter__flat,85,25,-0.05598145832007128,-0.07599832923135588,-0.0359174140960918,-0.07931576541498803,-0.03133088058928937,0.0,0.0,16,21,48,0.0,0.0
index,strict,joint_image_caption__B2_vector__ivfpq6_np8,joint_image_caption__B2_vector__flat,85,25,0.0022464555335687596,-0.014244597909181122,0.017971978702496685,-0.010999145435597147,0.017436071327003956,0.7758,0.733,23,44,18,0.9268148148148149,0.9040799999999999
